"","observed_on","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name","scientific_name","geometry"
"119",2016-09-10,"research","Rocha","Colaptes campestris","Animalia","Chordata","Aves","Piciformes","Picidae","Colaptes","Colaptes campestris",c(748676.685753457, 6158827.42131093)
"120",2016-09-10,"research","Rocha","Caracara plancus","Animalia","Chordata","Aves","Falconiformes","Falconidae","Caracara","Caracara plancus",c(748048.569954855, 6158812.92788862)
"121",2016-09-10,"research","Rocha","Rupornis magnirostris","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Rupornis","Rupornis magnirostris",c(736459.538870701, 6159366.25149753)
"122",2016-10-30,"research","Paysandú","Tyrannus savana","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Tyrannus","Tyrannus savana",c(406371.13039607, 6421457.60252015)
"123",2016-10-30,"research","Paysandú","Leistes superciliaris","Animalia","Chordata","Aves","Passeriformes","Icteridae","Leistes","Leistes superciliaris",c(408619.02563079, 6426409.51348319)
"124",2016-10-30,"research","Paysandú","Syrigma sibilatrix","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Syrigma","Syrigma sibilatrix",c(409761.050979247, 6423819.32519653)
"125",2016-10-30,"research","Paysandú","Dendrocygna viduata","Animalia","Chordata","Aves","Anseriformes","Anatidae","Dendrocygna","Dendrocygna viduata",c(409761.050979247, 6423819.32519653)
"126",2016-10-30,"research","Paysandú","Plegadis chihi","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Plegadis","Plegadis chihi",c(404982.33207486, 6423101.93414713)
"127",2016-10-30,"research","Paysandú","Egretta thula","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta thula",c(404982.33207486, 6423101.93414713)
"128",2016-10-30,"research","Paysandú","Jacana jacana","Animalia","Chordata","Aves","Charadriiformes","Jacanidae","Jacana","Jacana jacana",c(404982.33207486, 6423101.93414713)
"129",2016-11-12,"research","Paysandú","Paroaria coronata","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Paroaria","Paroaria coronata",c(409761.050979247, 6423819.32519653)
"130",2016-11-12,"research","Paysandú","Platalea ajaja","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Platalea","Platalea ajaja",c(409761.050979247, 6423819.32519653)
"131",2016-11-06,"research","Río Negro","Chlorostilbon lucidus","Animalia","Chordata","Aves","Caprimulgiformes","Trochilidae","Chlorostilbon","Chlorostilbon lucidus",c(393326.715399365, 6385265.38230995)
"132",2016-11-13,"research","Paysandú","Mimus saturninus","Animalia","Chordata","Aves","Passeriformes","Mimidae","Mimus","Mimus saturninus",c(408238.354311243, 6473170.17797059)
"133",2016-11-13,"research","Paysandú","Progne tapera","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Progne","Progne tapera",c(408238.354311243, 6473170.17797059)
"134",2016-11-13,"research","Paysandú","Colaptes campestris","Animalia","Chordata","Aves","Piciformes","Picidae","Colaptes","Colaptes campestris",c(408238.354311243, 6473170.17797059)
"135",2015-01-26,"research","Paysandú","Chloroceryle amazona","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Chloroceryle","Chloroceryle amazona",c(416305.817885466, 6476908.00680243)
"136",2016-12-27,"research","Maldonado","Turdus rufiventris","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus rufiventris",c(688457.397986983, 6133146.05897606)
"137",2017-01-14,"research","Paysandú","Colaptes melanochloros","Animalia","Chordata","Aves","Piciformes","Picidae","Colaptes","Colaptes melanochloros",c(409554.562080297, 6426576.09143036)
"138",2017-01-22,"research","Paysandú","Xolmis irupero","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Xolmis","Xolmis irupero",c(402920.806196158, 6425533.10236555)
"139",2017-02-28,"research","Paysandú","Ammodramus humeralis","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Ammodramus","Ammodramus humeralis",c(409345.996116171, 6422802.41878138)
"140",2017-02-28,"research","Paysandú","Syrigma sibilatrix","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Syrigma","Syrigma sibilatrix",c(409345.996116171, 6422802.41878138)
"141",2017-02-28,"research","Paysandú","Guira guira","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Guira","Guira guira",c(404624.1706027, 6425090.91499635)
"142",2017-02-28,"research","Paysandú","Guira guira","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Guira","Guira guira",c(409345.996116171, 6422802.41878138)
"143",2017-02-28,"research","Paysandú","Nengetus cinereus","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Nengetus","Nengetus cinereus",c(404624.1706027, 6425090.91499635)
"144",2017-02-28,"research","Paysandú","Paroaria coronata","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Paroaria","Paroaria coronata",c(404624.1706027, 6425090.91499635)
"145",2017-02-28,"research","Paysandú","Ardea alba","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea alba",c(404624.1706027, 6425090.91499635)
"146",2017-02-28,"research","Paysandú","Jacana jacana","Animalia","Chordata","Aves","Charadriiformes","Jacanidae","Jacana","Jacana jacana",c(404624.1706027, 6425090.91499635)
