"","observed_on","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name","scientific_name","geometry"
"87",2019-02-14,"research","Río Negro","Verbesina subcordata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Verbesina","Verbesina subcordata",c(401377.50529807, 6401846.35748808)
"88",2019-03-12,"research","San José","Achyrocline saturejoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achyrocline","Achyrocline saturejoides",c(528417.5032883, 6219688.92142707)
"89",2019-01-27,"research","Río Negro","Bauhinia forficata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Bauhinia","Bauhinia forficata",c(402490.160851439, 6400426.66644323)
"90",2019-01-25,"research","Río Negro","Centaurea solstitialis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Centaurea","Centaurea solstitialis",c(399784.247802394, 6400175.23023857)
"91",2018-11-24,"research","Río Negro","Opuntia rioplatense","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Opuntia","Opuntia rioplatense",c(401827.29204594, 6401348.72211548)
"92",2019-01-28,"research","Río Negro","Baccharis coridifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis","Baccharis coridifolia",c(402466.439822424, 6400396.68511088)
"93",2019-01-09,"research","Soriano","Desmodium incanum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium","Desmodium incanum",c(484425.908018985, 6334079.28967647)
"94",2019-01-05,"research","Río Negro","Grindelia pulchella","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Grindelia","Grindelia pulchella",c(403634.570776678, 6399819.65600422)
"95",2018-11-23,"research","Paysandú","Helenium radiatum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Helenium","Helenium radiatum",c(403685.98775486, 6402067.84539492)
"96",2018-11-11,"research","Canelones","Coreopsis lanceolata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Coreopsis","Coreopsis lanceolata",c(615742.872579657, 6152861.62688246)
"97",2018-11-06,"research","Paysandú","Vernonanthura montevidensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Vernonanthura","Vernonanthura montevidensis",c(403640.126631277, 6400840.44907473)
"98",2018-11-03,"research","Montevideo","Chamaemelum mixtum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Chamaemelum","Chamaemelum mixtum",c(587092.581770763, 6139003.50779218)
"99",2018-10-27,"research","Florida","Solanum mauritianum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Solanum","Solanum mauritianum",c(562389.540096496, 6201059.27101317)
"100",2018-10-27,"research","Florida","Trifolium polymorphum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium polymorphum",c(562670.931476224, 6199396.41106222)
"101",2018-10-19,"research","Río Negro","Solanum bonariense","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Solanum","Solanum bonariense",c(403514.944863362, 6400159.42723063)
"102",2018-10-18,"research","Río Negro","Acmella decumbens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acmella","Acmella decumbens",c(400486.419918575, 6399929.26908449)
"103",2018-10-18,"research","Río Negro","Picrosia longifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Picrosia","Picrosia longifolia",c(400465.994183355, 6400146.18794457)
"104",2018-10-17,"research","Río Negro","Solanum laxum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Solanum","Solanum laxum",c(403410.504522257, 6400464.23500395)
"105",2018-10-06,"research","Montevideo","Senecio crassiflorus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Senecio","Senecio crassiflorus",c(586170.103277974, 6138440.50190488)
"106",2018-10-06,"research","Montevideo","Lupinus bracteolaris","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus","Lupinus bracteolaris",c(586173.220464427, 6138448.05135035)
"107",2018-10-04,"research","Río Negro","Pamphalea heterophylla","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pamphalea","Pamphalea heterophylla",c(402653.141033672, 6400916.82028857)
