"","id","observado","user_id","latitude","longitude","place_admin1_name","especie","clase","familia","distribucion","largo_cm","status_global","status_regional","usuario","nivel","ranking"
"14687",129220362,"2022-08-01",5266364,-32.3661519544,-54.1885828972,"Cerro Largo","Melanerpes candidus","Aves","Picidae",19,24,"LC","LC","luisvescia","intermedio",3
"14688",129220581,"2022-08-02",5266364,-32.0830832115,-53.8170546966,"Cerro Largo","Xanthopsar flavus","Aves","Icteridae",12,19,"VU","VU","luisvescia","intermedio",3
"14689",129274212,"2022-06-07",3266129,-30.533408,-57.711042,"Artigas","Pachyramphus viridis","Aves","Tityridae",16,14,"LC","LC","marco-ferreira","principiante",211
"14690",129275294,"2021-11-13",3266129,-30.5998230753,-57.7718071184,"Artigas","Hemitriccus margaritaceiventer","Aves","Tyrannidae",6,10,"LC","NT","marco-ferreira","principiante",211
"14691",129276814,"2022-06-10",3266129,-30.533451,-57.711031,"Artigas","Asthenes pyrrholeuca","Aves","Furnariidae",18,16,"LC","NE","marco-ferreira","principiante",211
"14692",129280107,"2020-12-25",3266129,-30.4496527949,-57.7289584304,"Artigas","Melanerpes cactorum","Aves","Picidae",6,16,"LC","VU","marco-ferreira","principiante",211
"14693",129283586,"2022-02-05",3266129,-30.533416,-57.711057,"Artigas","Pachyramphus validus","Aves","Tityridae",2,17,"LC","DD","marco-ferreira","principiante",211
"14694",129294299,"2022-08-02",5703754,-34.3385642321,-56.7044210783,"San José","Caracara plancus","Aves","Falconidae",19,55,"LC","LC","maximiliano68","principiante",634
"14695",129413149,"2022-08-04",5028819,-34.329750804,-57.907249108,"Colonia","Dasypus novemcinctus","Mammalia","Dasypodidae",19,70,"LC","LC","anaolcese","principiante",168
"14696",129424456,"2022-07-31",5746452,-34.486272397,-56.8641789258,"San José","Lepidocolaptes angustirostris","Aves","Furnariidae",19,18,"LC","LC",NA,NA,NA
"14697",129482711,"2022-08-04",5903041,-34.8231939,-56.2184517,"Montevideo","Sicalis flaveola","Aves","Thraupidae",19,12,"LC","LC",NA,NA,NA
