"","user_id","primer_registro","ultimo_registro","registros","tiempo_activo","registros_x_tiempo","categoria_usuario","user_login"
"225",1572743,"2019-04-02 11:46:00 UTC","2019-08-11 18:08:51 UTC",6,132.265868055556,0.0453631771235178,"principiante","aguscf_13"
"226",1573607,"2019-04-02 18:24:36 UTC","2019-04-02 18:24:36 UTC",1,1,1,"principiante","federico141"
"227",1573614,"2019-04-02 18:02:39 UTC","2019-04-02 18:05:02 UTC",2,1.00165509259259,1.99669528442508,"principiante","celestecastaeda"
"228",1574040,"2019-04-02 20:48:45 UTC","2019-04-02 20:48:45 UTC",1,1,1,"principiante","miguel353"
"229",1574041,"2019-04-02 20:48:53 UTC","2019-04-02 20:48:53 UTC",1,1,1,"principiante","luca290"
"230",1577489,"2019-04-04 02:07:05 UTC","2019-04-04 02:07:05 UTC",1,1,1,"principiante","mateo38"
"231",1578274,"2019-04-04 12:21:01 UTC","2019-04-06 13:23:18 UTC",5,3.04325231481481,1.64297911667053,"principiante","jorgecaceres1"
"232",1585096,"2019-04-06 22:29:09 UTC","2019-04-06 22:29:09 UTC",1,1,1,"principiante","valentinaprez"
"233",1592379,"2019-04-09 12:56:55 UTC","2019-04-09 12:56:55 UTC",1,1,1,"principiante","luciabrunellimarzoa"
"234",1593180,"2019-04-09 16:59:33 UTC","2019-04-09 17:00:16 UTC",2,1.00049768518519,1.9990051247643,"principiante","joaquin43"
"235",1593198,"2019-04-09 17:05:31 UTC","2019-04-09 17:05:31 UTC",1,1,1,"principiante","aixaa"
"236",1609409,"2019-12-17 01:12:06 UTC","2020-01-25 04:35:00 UTC",7,40.1409027777778,0.174385714211571,"principiante","marcelocasacuberta"
"237",1609502,"2019-04-20 23:01:35 UTC","2019-04-20 23:01:35 UTC",1,1,1,"principiante","franko3"
"238",1625122,"2020-05-30 18:40:29 UTC","2022-01-16 23:59:29 UTC",14,597.221527777778,0.0234418877231253,"principiante","arazarojo"
"239",1629703,"2019-04-17 21:50:10 UTC","2019-04-17 21:50:10 UTC",1,1,1,"principiante","giannicharbonnier"
"240",1631898,"2019-04-18 14:11:03 UTC","2019-04-18 14:11:03 UTC",1,1,1,"principiante","sofa27"
"241",1633424,"2019-04-18 20:56:55 UTC","2022-08-13 14:42:58 UTC",539,1213.7403125,0.44408181424723,"intermedio","klaus16"
"242",1636803,"2019-04-23 16:01:58 UTC","2019-04-23 16:03:31 UTC",2,1.00107638888889,1.99784953695675,"principiante","nicfab"
"243",1636971,"2019-04-19 19:13:45 UTC","2019-04-19 19:13:45 UTC",1,1,1,"principiante","maralaura"
"244",1640844,"2019-04-26 14:05:36 UTC","2020-10-05 16:03:17 UTC",5,529.081724537037,0.00945033587084331,"principiante","romina_mon"
"245",1641447,"2020-04-11 15:57:35 UTC","2020-11-17 02:55:16 UTC",42,220.456724537037,0.190513580786437,"principiante","andrewsdiez"
"246",1648923,"2019-04-24 18:07:44 UTC","2019-04-24 18:07:54 UTC",15,1.00011574074074,14.9982640898044,"principiante","obi-wankenobi"
"247",1661153,"2019-10-01 00:44:37 UTC","2022-10-30 15:59:53 UTC",1955,1126.63560185185,1.73525494559782,"experimentado","msilvera"
"248",1666469,"2019-05-13 20:31:10 UTC","2019-05-13 20:31:10 UTC",1,1,1,"principiante","mojarra"
"249",1678086,"2019-04-27 00:46:58 UTC","2020-12-25 19:15:20 UTC",8,609.769699074074,0.0131197073454911,"principiante","chiara175"
"250",1691467,"2019-04-28 16:59:39 UTC","2019-04-28 16:59:39 UTC",1,1,1,"principiante","xxstraxsxx189"
"251",1708205,"2019-05-01 16:22:46 UTC","2019-05-01 16:22:46 UTC",1,1,1,"principiante","melanie254"
"252",1772722,"2019-05-21 13:43:17 UTC","2022-04-10 14:03:52 UTC",23,1056.01429398148,0.0217800082168238,"principiante","estebanmartinezutec"
