,"id","observado","usuario","nivel","ranking","latitude","longitude","departamento","clase","familia","especie","distribucion","distribucion_2","largo_cm","tamaño","status_regional","status_global"
"12512",136829744,"2022-09-26","pablobaldu","experimentado",9,"-34.8673649669","-56.0629419052","Montevideo","Aves","Strigidae","Athene cunicularia",19,"Alta",25,"Mediano","NT","LC"
"12513",136829747,"2022-09-28","pablobaldu","experimentado",9,"-34.8673649669","-56.0629419052","Montevideo","Aves","Sturnidae","Sturnus vulgaris",19,"Alta",20,"Mediano","NE","LC"
"12514",136873738,"2022-09-25","lurtri","intermedio",28,"-34.9137597998","-54.9635927752","Maldonado","Aves","Charadriidae","Vanellus chilensis",19,"Alta",32,"Mediano","LC","LC"
"12515",136935928,"2022-09-29","santiagomailhos","experimentado",1,"-32.5298031541","-58.032637573","Río Negro","Aves","Tyrannidae","Pyrocephalus rubinus",19,"Alta",13,"Pequeño","LC","LC"
"12516",136937431,"2022-09-29","santiagomailhos","experimentado",1,"-32.5322092892","-58.0302384831","Río Negro","Aves","Phalacrocoracidae","Nannopterum brasilianum",19,"Alta",63,"Grande","LC","LC"
"12517",136938222,"2022-09-29","santiagomailhos","experimentado",1,"-32.53116677","-58.0315062362","Río Negro","Aves","Tyrannidae","Xolmis irupero",19,"Alta",17,"Pequeño","LC","LC"
"12518",136938729,"2022-09-29","santiagomailhos","experimentado",1,"-32.5318285363","-58.0337996503","Río Negro","Aves","Accipitridae","Rostrhamus sociabilis",19,"Alta",41,"Mediano","LC","LC"
"12519",136939404,"2022-09-29","santiagomailhos","experimentado",1,"-32.531769132","-58.0337637823","Río Negro","Aves","Threskiornithidae","Theristicus caerulescens",19,"Alta",62,"Grande","LC","LC"
"12520",136939772,"2022-09-29","santiagomailhos","experimentado",1,"-32.5317621243","-58.0337894956","Río Negro","Aves","Recurvirostridae","Himantopus mexicanus",19,"Alta",38,"Mediano","LC","LC"
"12521",136940219,"2022-09-29","santiagomailhos","experimentado",1,"-32.5311657248","-58.0366991371","Río Negro","Aves","Columbidae","Columbina picui",19,"Alta",15,"Pequeño","LC","LC"
"12522",136940647,"2022-09-29","rpereirag","intermedio",26,"-34.7943355","-54.5542771","Rocha","Reptilia","Colubridae","Erythrolamprus poecilogyrus",19,"Alta",70,"Mediano","LC","NE"
"12523",136944450,"2022-09-24","rpereirag","intermedio",26,"-33.9693565278","-54.0312461667","Rocha","Aves","Sturnidae","Sturnus vulgaris",19,"Alta",20,"Mediano","NE","LC"
"12524",136947057,"2022-09-25","leila155","intermedio",72,"-31.3597306389","-55.9850792222","Tacuarembó","Aves","Thraupidae","Sicalis flaveola",19,"Alta",12,"Pequeño","LC","LC"
"12525",136957019,"2022-09-29","rpereirag","intermedio",26,"-34.7113433333","-54.50059","Rocha","Mammalia","Cervidae","Axis axis",13,"Media",140,"Mediano","LC","LC"
"12526",136989024,"2022-09-29","adriana_machado","intermedio",39,"-31.2643166088","-55.1778068746","Rivera","Aves","Thraupidae","Sporophila collaris",14,"Media",11,"Pequeño","VU","LC"
"12527",136989134,"2022-09-29","adriana_machado","intermedio",39,"-31.3485045789","-55.019001849","Rivera","Aves","Scolopacidae","Calidris melanotos",19,"Alta",20,"Mediano","LC","LC"
"12528",136989258,"2022-09-29","adriana_machado","intermedio",39,"-31.3485372207","-55.0190112367","Rivera","Aves","Tyrannidae","Tyrannus savana",19,"Alta",38,"Mediano","LC","LC"
"12529",136989423,"2022-09-29","adriana_machado","intermedio",39,"-31.3484086576","-55.0189589337","Rivera","Aves","Ciconiidae","Ciconia maguari",19,"Alta",85,"Grande","LC","LC"
"12530",136989669,"2022-09-29","adriana_machado","intermedio",39,"-31.348477091","-55.0190524757","Rivera","Aves","Threskiornithidae","Phimosus infuscatus",19,"Alta",40,"Mediano","LC","LC"
"12531",136989875,"2022-09-29","adriana_machado","intermedio",39,"-31.3484916939","-55.0190206245","Rivera","Aves","Threskiornithidae","Plegadis chihi",19,"Alta",40,"Mediano","LC","LC"
"12532",136990003,"2022-09-29","adriana_machado","intermedio",39,"-31.3485372207","-55.0190149248","Rivera","Aves","Phalacrocoracidae","Nannopterum brasilianum",19,"Alta",63,"Grande","LC","LC"
"12533",137052068,"2022-09-30","santiagomailhos","experimentado",1,"-32.5586566754","-58.0437953826","Río Negro","Aves","Ardeidae","Ardea cocoi",19,"Alta",75,"Grande","LC","LC"
